Product Name,Brand,Price,ImageName
Lets Dred Beeswax 4oz.,Lets Dred,60,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/L/D/LD101_0.jpg
Lets Dred Shampoo 8oz.,Lets Dred,60,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/L/D/LD103_0.jpg
Lets Dred Locks Maintenance Oil 4oz.,Lets Dred,60,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/L/D/LD104_0.png
Lets Dred Braid Spray 8oz.,Lets Dred,60,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/L/D/LD105_0.jpg
Lets Dred Coconut Oil 4oz.,Lets Dred,60,https://www.suhailcosmetics.com/media/catalog/product/cache/0f831c1845fc143d00d6d1ebc49f446a/L/D/LD106_0.jpg
